IBGE;PMATPUB_EF;PMATPUB_EM;DIST_EF_PUB;DIST_EM_PUB;IDEB_AI;IDEB_AF;DOCSUP_EF_PUB;DOCSUP_EM_PUB;TXMOINF;TXBRUTAMORT;TXCOBPLP;PINTERSAP;PINTERDRSAI;REN_TRPCBF_D;REN_TRPCBPC_D;PDEFAGUA;PDEFESGOTO;PDEFLIXO;PDEFSAN;PPOB_POS;PBF;SNIS_PAGUA;PFOCOS;POP_TOT;estado;municipio;casosAcumulado;obitosAcumulado;RegMetro;Região;Porte;Capital;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FUND15A17;R1040;RDPC;RDPC1;RDPC4;RMPOB;RPOB;PMPOB;PPOB;GINI;IDHM_E;IDHM_L;IDHM_R;IDHM;LON;LAT;ANNUAL
352960;100.0;100.0;6.4;7.8;6.8;6.0;85.2;58.3;20.0;9.51;17.19;17.62;1.59;50.24;125.47;11.97;3.7;5.82;2.05;53.7;33.73;100.0;0.01;3892.0;SP;Meridiano;131.0;5.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-50.1821;-20.3499;5077.0
352965;100.0;100.0;10.9;12.2;6.7;5.0;70.3;80.6;0.0;11.42;17.5;17.33;0.0;43.1;76.19;14.72;0.29;7.0;0.29;64.87;40.23;100.0;0.0;1926.0;SP;Mesópolis;34.0;1.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-50.617;-19.9698;5088.0
352970;91.75;100.0;11.8;10.7;5.4;4.0;58.6;55.5;7.43;6.92;29.13;23.26;2.66;104.31;148.29;10.3;2.27;0.79;0.32;83.73;68.16;89.74;0.09;21973.0;SP;Miguelópolis;545.0;15.0;Interior;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-48.0314;-20.1801;5139.0
352980;93.35;100.0;8.2;12.3;6.6;4.8;71.6;95.0;22.39;8.98;7.11;13.21;0.81;67.26;100.07;2.07;0.44;1.75;0.33;78.49;63.17;100.0;0.01;12812.0;SP;Mineiros do Tietê;297.0;7.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-48.4514;-22.4125;4754.0
352990;95.6;100.0;10.3;8.9;6.0;4.6;59.8;58.8;30.1;7.29;5.21;17.32;0.34;119.72;314.68;49.5;27.53;27.7;14.7;86.57;65.02;100.0;0.01;20288.0;SP;Miracatu;333.0;17.0;Interior;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-47.4629;-24.2771;2876.0
353010;76.27;77.4;4.5;10.4;6.7;5.0;76.3;62.5;7.43;6.89;10.33;25.48;2.16;32.4;136.62;15.97;6.98;14.49;4.59;66.05;45.33;99.71;0.02;29315.0;SP;Mirandópolis;404.0;11.0;Interior;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-51.1039;-21.1318;5097.0
353020;97.59;100.0;3.9;10.3;6.5;5.1;69.8;65.9;16.67;7.94;21.68;17.58;1.06;59.64;115.07;36.91;2.66;36.88;2.31;56.36;34.62;97.93;0.02;18130.0;SP;Mirante do Paranapanema;135.0;5.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-51.9088;-22.2909;4999.0
353030;81.19;88.51;8.4;14.8;6.5;5.5;80.8;73.6;6.93;7.1;35.68;22.37;2.17;17.91;140.56;1.92;0.74;0.78;0.29;70.06;43.03;100.0;0.02;58760.0;SP;Mirassol;2233.0;56.0;Interior;Região Sudeste;Médio;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-49.521;-20.8173;5032.0
353040;100.0;100.0;10.3;11.8;7.1;4.2;68.5;55.0;0.0;5.04;12.25;15.31;0.24;28.24;130.56;9.71;18.65;5.48;3.17;70.38;43.56;93.69;0.02;4758.0;SP;Mirassolândia;175.0;2.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-49.4639;-20.617;5051.0
353050;75.77;84.93;10.2;19.5;6.2;5.2;77.9;66.7;11.18;8.22;29.4;17.23;0.85;35.94;132.94;8.6;5.86;2.94;1.7;74.73;55.15;100.0;0.1;68994.0;SP;Mococa;1431.0;32.0;Interior;Região Sudeste;Médio;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-47.0028;-21.4652;4851.0
353060;79.13;84.67;5.3;11.0;6.8;4.8;72.2;63.9;9.46;6.31;31.66;15.86;0.45;84.93;123.54;12.78;9.94;1.85;0.83;84.65;67.97;98.97;0.05;433901.0;SP;Mogi das Cruzes;8840.0;426.0;Região Metropolitana;Região Sudeste;Grande;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-46.1858;-23.5213;3567.0
353070;82.74;86.8;11.7;17.2;6.8;5.6;84.2;71.4;11.17;6.95;38.85;15.35;0.54;21.63;77.89;3.0;2.48;0.94;0.63;69.83;41.63;100.0;0.12;149396.0;SP;Mogi Guaçu;3072.0;79.0;Interior;Região Sudeste;Grande;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-46.9432;-22.3679;4752.0
353080;81.78;91.92;11.8;14.9;6.6;4.9;81.1;73.2;10.47;7.37;34.41;18.36;0.58;17.79;101.66;7.76;10.44;4.44;3.96;75.91;50.22;100.0;0.07;92365.0;SP;Mogi Mirim;2051.0;56.0;Interior;Região Sudeste;Médio;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-46.9509;-22.4324;4752.0
353090;100.0;100.0;15.2;11.6;6.6;4.7;74.2;56.5;0.0;8.07;22.65;17.67;0.81;141.5;121.31;12.73;9.49;4.31;2.96;83.5;59.66;100.0;0.02;3470.0;SP;Mombuca;52.0;1.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-47.5594;-22.929;4631.0
353120;100.0;100.0;25.7;18.9;6.3;4.7;67.8;74.7;24.69;6.23;29.73;16.95;0.67;21.3;64.1;33.97;17.74;2.28;1.52;77.06;42.46;100.0;0.02;7871.0;SP;Monte Alegre do Sul;69.0;1.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-46.6814;-22.6822;4563.0
353130;73.08;76.78;5.1;12.6;6.6;5.3;79.3;65.8;18.4;8.42;40.59;18.76;3.06;17.63;123.66;2.62;0.73;2.54;0.65;75.06;49.05;100.0;0.07;49979.0;SP;Monte Alto;1110.0;38.0;Interior;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-48.4975;-21.266;4958.0
353140;80.28;87.39;7.9;14.3;6.6;5.1;82.9;65.9;4.39;7.58;33.73;40.53;11.46;47.84;173.75;4.92;3.57;4.47;3.18;74.53;55.77;100.0;0.03;24393.0;SP;Monte Aprazível;724.0;18.0;Interior;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-49.7139;-20.773000000000003;5057.0
353150;83.94;100.0;6.8;13.8;6.8;5.1;82.0;61.1;8.7;8.06;28.3;31.19;5.51;26.6;134.16;2.86;1.09;2.86;0.84;74.52;45.85;97.05;0.05;19234.0;SP;Monte Azul Paulista;229.0;2.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-48.6391;-20.907;5047.0
353160;100.0;100.0;3.4;5.1;7.3;4.8;87.5;64.3;0.0;9.31;19.47;27.27;3.44;46.52;177.25;8.66;4.08;7.92;2.12;72.14;47.79;100.0;0.0;4190.0;SP;Monte Castelo;111.0;4.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-51.5683;-21.2986;5066.0
353170;93.5;100.0;14.7;25.8;6.8;4.9;80.6;75.3;0.0;7.25;11.8;13.46;0.0;68.05;315.23;28.99;9.64;1.31;0.46;83.89;59.21;100.0;0.01;4549.0;SP;Monteiro Lobato;75.0;1.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-45.8411;-22.9549;3706.0
353180;96.34;97.8;14.6;16.6;6.4;5.1;77.1;57.7;12.96;5.43;29.29;13.94;0.33;100.31;119.16;5.99;7.58;1.51;0.31;79.72;68.63;100.0;0.03;57240.0;SP;Monte Mor;1546.0;31.0;Região Metropolitana;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-47.3126;-22.9455;4701.0
353190;91.94;95.26;14.2;10.9;6.0;5.1;79.2;76.5;8.02;5.8;33.4;22.42;1.12;71.66;101.67;1.81;0.99;1.48;0.54;77.32;56.75;99.08;0.3;32220.0;SP;Morro Agudo;1189.0;24.0;Interior;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-48.0585;-20.7293;4993.0
353200;92.64;100.0;14.0;22.9;6.2;5.2;66.4;58.3;13.16;6.05;27.45;14.02;0.58;27.93;99.18;17.31;8.95;2.31;1.07;61.89;39.41;100.0;0.01;13232.0;SP;Morungaba;132.0;3.0;Região Metropolitana;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-46.79;-22.8815;4529.0
353205;100.0;100.0;19.5;28.7;6.8;5.3;50.7;56.3;0.0;5.56;36.16;13.81;0.0;48.82;40.38;41.54;3.7;5.61;0.6;84.28;65.17;98.52;0.03;4676.0;SP;Motuca;63.0;3.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-48.151;-21.508000000000006;4866.0
353210;100.0;100.0;7.5;11.3;7.6;4.4;62.5;70.8;22.73;7.64;10.38;19.48;1.36;123.37;132.89;36.22;22.14;35.12;19.85;67.71;50.3;99.74;0.0;4453.0;SP;Murutinga do Sul;53.0;2.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-51.2778;-20.9913;5097.0
353220;100.0;100.0;7.2;21.6;6.8;5.0;81.0;70.5;0.0;6.53;13.95;13.22;0.52;35.4;121.77;18.3;5.02;16.11;3.75;70.81;38.37;100.0;0.01;4746.0;SP;Narandiba;112.0;3.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-51.5239;-22.4069;4972.0
